file,line,type,message
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\fix-package.js",23,"CONSOLE_USAGE","console.log() detected"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\fix-package.js",26,"CONSOLE_USAGE","console.log() detected"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\fix-package.js",31,"CONSOLE_USAGE","console.log() detected"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\fix-package.js",33,"CONSOLE_USAGE","console.log() detected"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\fix-package.js",53,"CONSOLE_USAGE","console.log() detected"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\fix-package.js",55,"CONSOLE_USAGE","console.log() detected"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\fix-package.js",86,"CONSOLE_USAGE","console.log() detected"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\fix-package.js",91,"CONSOLE_USAGE","console.log() detected"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\core\PatternPrecognition.js",1,"TRAILING_SUMMARY","121 total trailing issues detected (showing first 10)"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\core\PatternPrecognition.js",3,"TRAILING_SPACE","Trailing space detected at end of line 3"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\core\PatternPrecognition.js",17,"TRAILING_SPACE","Trailing space detected at end of line 17"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\core\PatternPrecognition.js",22,"TRAILING_SPACE","Trailing space detected at end of line 22"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\core\PatternPrecognition.js",27,"TRAILING_SPACE","Trailing space detected at end of line 27"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\core\PatternPrecognition.js",34,"TRAILING_SPACE","Trailing space detected at end of line 34"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\core\PatternPrecognition.js",39,"TRAILING_SPACE","Trailing space detected at end of line 39"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\core\PatternPrecognition.js",58,"TRAILING_SPACE","Trailing space detected at end of line 58"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\core\PatternPrecognition.js",95,"TRAILING_SPACE","Trailing space detected at end of line 95"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\core\PatternPrecognition.js",106,"TRAILING_SPACE","Trailing space detected at end of line 106"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\core\PatternPrecognition.js",136,"TRAILING_SPACE","Trailing space detected at end of line 136"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\reporters\SauronReportViewer.js",1,"CONSOLE_USAGE_SUMMARY","22 console statements detected (showing first 10)"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\reporters\SauronReportViewer.js",1,"CONSOLE_USAGE_SUMMARY","22 console statements detected (showing first 10)"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\reporters\SauronReportViewer.js",51,"CONSOLE_USAGE","console.log() detected"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\reporters\SauronReportViewer.js",51,"CONSOLE_USAGE","console.log() detected"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\reporters\SauronReportViewer.js",52,"CONSOLE_USAGE","console.log() detected"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\reporters\SauronReportViewer.js",52,"CONSOLE_USAGE","console.log() detected"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\reporters\SauronReportViewer.js",53,"CONSOLE_USAGE","console.log() detected"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\reporters\SauronReportViewer.js",53,"CONSOLE_USAGE","console.log() detected"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\reporters\SauronReportViewer.js",56,"CONSOLE_USAGE","console.log() detected"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\reporters\SauronReportViewer.js",56,"CONSOLE_USAGE","console.log() detected"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\reporters\SauronReportViewer.js",57,"CONSOLE_USAGE","console.log() detected"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\reporters\SauronReportViewer.js",57,"CONSOLE_USAGE","console.log() detected"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\reporters\SauronReportViewer.js",58,"CONSOLE_USAGE","console.log() detected"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\reporters\SauronReportViewer.js",58,"CONSOLE_USAGE","console.log() detected"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\reporters\SauronReportViewer.js",59,"CONSOLE_USAGE","console.log() detected"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\reporters\SauronReportViewer.js",59,"CONSOLE_USAGE","console.log() detected"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\reporters\SauronReportViewer.js",66,"CONSOLE_USAGE","console.log() detected"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\reporters\SauronReportViewer.js",66,"CONSOLE_USAGE","console.log() detected"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\reporters\SauronReportViewer.js",69,"CONSOLE_USAGE","console.log() detected"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\reporters\SauronReportViewer.js",69,"CONSOLE_USAGE","console.log() detected"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\reporters\SauronReportViewer.js",70,"CONSOLE_USAGE","console.log() detected"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\reporters\SauronReportViewer.js",70,"CONSOLE_USAGE","console.log() detected"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\utils\SauronReportEncryptor.js",52,"CONSOLE_USAGE","console.warn() detected"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\utils\SauronReportEncryptor.js",99,"CONSOLE_USAGE","console.error() detected"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\utils\SauronReportEncryptor.js",141,"CONSOLE_USAGE","console.error() detected"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\utils\SauronScanVisualizer.js",219,"CONSOLE_USAGE","console.log() detected"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\utils\SauronScanAnonymizer.js",83,"CONSOLE_USAGE","console.error() detected"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\utils\SauronTrendVisualizer.js",70,"CONSOLE_USAGE","console.error() detected"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\utils\SauronTrendVisualizer.js",151,"CONSOLE_USAGE","console.error() detected"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\core\CharacterForensics.js",63,"TRAILING_SPACE","Trailing space detected at end of line 63"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\core\CharacterForensics.js",123,"TRAILING_SPACE","Trailing space detected at end of line 123"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\core\CharacterForensics.js",126,"TRAILING_SPACE","Trailing space detected at end of line 126"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\core\CharacterForensics.js",280,"TRAILING_SPACE","Trailing space detected at end of line 280"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\core\CharacterForensics.js",284,"TRAILING_SPACE","Trailing space detected at end of line 284"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\core\CharacterForensics.js",294,"TRAILING_SPACE","Trailing space detected at end of line 294"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\core\CharacterForensics.js",299,"TRAILING_SPACE","Trailing space detected at end of line 299"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\core\CharacterForensics.js",302,"TRAILING_SPACE","Trailing space detected at end of line 302"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\core\SauronConfigLoader.js",319,"CONSOLE_USAGE","console.warn() detected"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\core\SauronConfigLoader.js",329,"CONSOLE_USAGE","console.error() detected"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\core\SauronConfigLoader.js",353,"CONSOLE_USAGE","console.log() detected"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\utils\SauronComplianceChecker.js",463,"CONSOLE_USAGE","console.log() detected"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\utils\SauronComplianceChecker.js",464,"CONSOLE_USAGE","console.log() detected"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\utils\SauronComplianceChecker.js",465,"CONSOLE_USAGE","console.log() detected"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\utils\SauronReportExporter.js",34,"CONSOLE_USAGE","console.warn() detected"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\utils\SauronReportExporter.js",37,"CONSOLE_USAGE","console.warn() detected"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\utils\SauronReportExporter.js",48,"CONSOLE_USAGE","console.error() detected"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\utils\SauronReportExporter.js",76,"CONSOLE_USAGE","console.warn() detected"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\utils\SauronReportExporter.js",79,"CONSOLE_USAGE","console.error() detected"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\utils\SauronReportExporter.js",113,"CONSOLE_USAGE","console.log() detected"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\utils\SauronReportExporter.js",177,"CONSOLE_USAGE","console.log() detected"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\utils\SauronReportExporter.js",241,"CONSOLE_USAGE","console.log() detected"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\sauron-cleanup.js",1,"CONSOLE_USAGE_SUMMARY","26 console statements detected (showing first 10)"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\sauron-cleanup.js",104,"CONSOLE_USAGE","console.log() detected"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\sauron-cleanup.js",105,"CONSOLE_USAGE","console.log() detected"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\sauron-cleanup.js",106,"CONSOLE_USAGE","console.log() detected"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\sauron-cleanup.js",112,"CONSOLE_USAGE","console.log() detected"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\sauron-cleanup.js",129,"CONSOLE_USAGE","console.error() detected"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\sauron-cleanup.js",136,"CONSOLE_USAGE","console.log() detected"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\sauron-cleanup.js",143,"CONSOLE_USAGE","console.log() detected"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\sauron-cleanup.js",175,"CONSOLE_USAGE","console.log() detected"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\sauron-cleanup.js",186,"CONSOLE_USAGE","console.log() detected"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\sauron-cleanup.js",189,"CONSOLE_USAGE","console.log() detected"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\utils\SauronScanArchiveManager.js",129,"CONSOLE_USAGE","console.error() detected"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\utils\SauronScanArchiveManager.js",174,"CONSOLE_USAGE","console.error() detected"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\fixed-investigate.cjs",1,"CONSOLE_USAGE_SUMMARY","26 console statements detected (showing first 10)"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\fixed-investigate.cjs",10,"CONSOLE_USAGE","console.log() detected"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\fixed-investigate.cjs",16,"CONSOLE_USAGE","console.log() detected"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\fixed-investigate.cjs",17,"CONSOLE_USAGE","console.log() detected"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\fixed-investigate.cjs",23,"CONSOLE_USAGE","console.log() detected"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\fixed-investigate.cjs",33,"CONSOLE_USAGE","console.log() detected"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\fixed-investigate.cjs",34,"CONSOLE_USAGE","console.log() detected"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\fixed-investigate.cjs",73,"CONSOLE_USAGE","console.log() detected"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\fixed-investigate.cjs",74,"CONSOLE_USAGE","console.log() detected"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\fixed-investigate.cjs",75,"CONSOLE_USAGE","console.log() detected"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\fixed-investigate.cjs",76,"CONSOLE_USAGE","console.log() detected"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\utils\ScanHistoryManager.js",97,"CONSOLE_USAGE","console.error() detected"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\core\ComponentMarketplace.js",88,"CONSOLE_USAGE","console.log() detected"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\core\SauronLicenseManager.js",215,"CONSOLE_USAGE","console.log() detected"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\core\SauronLicenseManager.js",216,"CONSOLE_USAGE","console.log() detected"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\sauron-cli.js",1,"CONSOLE_USAGE_SUMMARY","14 console statements detected (showing first 10)"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\sauron-cli.js",306,"CONSOLE_USAGE","console.error() detected"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\sauron-cli.js",621,"CONSOLE_USAGE","console.log() detected"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\sauron-cli.js",676,"CONSOLE_USAGE","console.log() detected"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\sauron-cli.js",684,"CONSOLE_USAGE","console.log() detected"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\sauron-cli.js",692,"CONSOLE_USAGE","console.error() detected"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\sauron-cli.js",702,"CONSOLE_USAGE","console.log() detected"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\sauron-cli.js",714,"CONSOLE_USAGE","console.error() detected"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\sauron-cli.js",727,"CONSOLE_USAGE","console.log() detected"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\sauron-cli.js",728,"CONSOLE_USAGE","console.log() detected"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\sauron-cli.js",729,"CONSOLE_USAGE","console.log() detected"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\utils\SauronSecurePipelineOrchestrator.js",82,"CONSOLE_USAGE","console.error() detected"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\utils\SauronSecurePipelineOrchestrator.js",101,"CONSOLE_USAGE","console.error() detected"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\utils\SauronSecurePipelineOrchestrator.js",114,"CONSOLE_USAGE","console.error() detected"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\utils\SauronSecurePipelineOrchestrator.js",134,"CONSOLE_USAGE","console.error() detected"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\utils\SauronSecurePipelineOrchestrator.js",172,"CONSOLE_USAGE","console.error() detected"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\standalone-launcher.cjs",1,"CONSOLE_USAGE_SUMMARY","22 console statements detected (showing first 10)"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\standalone-launcher.cjs",54,"CONSOLE_USAGE","console.error() detected"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\standalone-launcher.cjs",72,"CONSOLE_USAGE","console.log() detected"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\standalone-launcher.cjs",96,"CONSOLE_USAGE","console.log() detected"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\standalone-launcher.cjs",118,"CONSOLE_USAGE","console.error() detected"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\standalone-launcher.cjs",123,"CONSOLE_USAGE","console.error() detected"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\standalone-launcher.cjs",132,"CONSOLE_USAGE","console.log() detected"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\standalone-launcher.cjs",142,"CONSOLE_USAGE","console.log() detected"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\standalone-launcher.cjs",143,"CONSOLE_USAGE","console.log() detected"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\standalone-launcher.cjs",144,"CONSOLE_USAGE","console.log() detected"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\standalone-launcher.cjs",150,"CONSOLE_USAGE","console.error() detected"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\src\core\detectionEngine.js",131,"CONSOLE_USAGE","console.error() detected"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\src\core\detectionEngine.js",149,"CONSOLE_USAGE","console.error() detected"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\utils\GitHookInstaller.js",1,"CONSOLE_USAGE_SUMMARY","15 console statements detected (showing first 10)"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\utils\GitHookInstaller.js",72,"CONSOLE_USAGE","console.log() detected"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\utils\GitHookInstaller.js",89,"CONSOLE_USAGE","console.log() detected"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\utils\GitHookInstaller.js",91,"CONSOLE_USAGE","console.error() detected"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\utils\GitHookInstaller.js",149,"CONSOLE_USAGE","console.log() detected"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\utils\GitHookInstaller.js",291,"CONSOLE_USAGE","console.log() detected"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\utils\GitHookInstaller.js",296,"CONSOLE_USAGE","console.log() detected"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\utils\GitHookInstaller.js",300,"CONSOLE_USAGE","console.log() detected"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\utils\GitHookInstaller.js",307,"CONSOLE_USAGE","console.error() detected"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\utils\GitHookInstaller.js",327,"CONSOLE_USAGE","console.log() detected"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\utils\GitHookInstaller.js",385,"CONSOLE_USAGE","console.log() detected"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\utils\SauronCveFetcher.js",1,"CONSOLE_USAGE_SUMMARY","15 console statements detected (showing first 10)"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\utils\SauronCveFetcher.js",38,"CONSOLE_USAGE","console.log() detected"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\utils\SauronCveFetcher.js",43,"CONSOLE_USAGE","console.log() detected"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\utils\SauronCveFetcher.js",73,"CONSOLE_USAGE","console.log() detected"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\utils\SauronCveFetcher.js",86,"CONSOLE_USAGE","console.log() detected"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\utils\SauronCveFetcher.js",90,"CONSOLE_USAGE","console.error() detected"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\utils\SauronCveFetcher.js",94,"CONSOLE_USAGE","console.log() detected"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\utils\SauronCveFetcher.js",112,"CONSOLE_USAGE","console.warn() detected"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\utils\SauronCveFetcher.js",122,"CONSOLE_USAGE","console.log() detected"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\utils\SauronCveFetcher.js",129,"CONSOLE_USAGE","console.error() detected"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\utils\SauronCveFetcher.js",142,"CONSOLE_USAGE","console.warn() detected"
"C:\Users\DKdKe\OneDrive\Desktop\T-App\eye-of-sauron\utils\SauronJobMetricsCollector.js",39,"CONSOLE_USAGE","console.warn() detected"
